,group,child,parent
0,10002950_1,Extremal graph theory,Combinatorics
1,10002950_1,Permutations and combinations,Combinatorics
2,10002950_1,Graph algorithms,Graph theory
3,10002950_1,Combinatoric problems,Combinatorics
4,10002950_1,Combinatorics on words,Combinatorics
5,10002950_1,Generating functions,Combinatorics
6,10002950_1,Paths and connectivity problems,Graph algorithms
7,10002950_1,Graph enumeration,Graph theory
8,10002950_1,Approximation algorithms,Graph algorithms
9,10002950_1,Enumeration,Combinatorics
10,10002950_1,Spectra of graphs,Extremal graph theory
11,10002950_1,Trees,Graph theory
12,10002950_1,Matchings and factors,Graph theory
13,10002950_1,Hypergraphs,Graph theory
14,10002950_1,Random graphs,Graph theory
15,10002950_1,Graphs and surfaces,Graph theory
16,10002950_1,Matroids and greedoids,Combinatorics
17,10002950_1,Generating functions,Combinatorics
18,10002950_1,Network flows,Graph theory
19,10002950_1,Graph coloring,Graph theory
20,10002950_1,Graph theory,Discrete mathematics
21,10002950_1,Combinatorics,Discrete mathematics
22,10002950_1,Combinatorial optimization,Combinatorics
23,10002950_1,Combinatorial algorithms,Combinatorics
24,10002950_4,Integer programming,Mathematical optimization
25,10002950_4,Non-parametric optimization,Mathematical optimization
26,10002950_4,Quasiconvex programming and unimodality,Mathematical optimization
27,10002950_4,Linear programming,Mathematical optimization
28,10002950_4,Convex optimization,Mathematical optimization
29,10002950_4,Nonconvex optimization,Mathematical optimization
30,10002950_4,Semidefinite programming,Mathematical optimization
31,10002950_4,Submodular optimization and polymatroids,Mathematical optimization
32,10002950_4,Number-theoretic computations,Mathematical optimization
33,10002950_4,Stochastic control and optimization,Mathematical optimization
34,10002950_4,Optimization with randomized search heuristics,Mathematical optimization
35,10002950_4,Bio-inspired optimization,Mathematical optimization
36,10002950_4,Continuous optimization,Mathematical optimization
37,10002950_4,Mixed discrete-continuous optimization,Mathematical optimization
38,10002950_4,Discrete optimization,Mathematical optimization
39,10002950_4,Calculus,Mathematical analysis
40,10002950_4,Differential equations,Mathematical analysis
41,10002950_4,Functional analysis,Mathematical analysis
42,10002950_4,Discretization,Discrete optimization
43,10002950_4,Approximation,Discrete optimization
44,10002950_4,Grid generation,Computational geometry
45,10002950_4,Differential variational inequalities,Numerical analysis
46,10002950_4,Computations on polynomials,Computational mathematics
47,10002950_4,Developmental representations,Computational mathematics
48,10002950_4,Evolutionary algorithms,Bio-inspired optimization
49,10002950_4,Randomized local search,Optimization with randomized search heuristics
50,10002950_4,Computations in finite fields,Computational mathematics
51,10002950_4,Tabu search,Computational methods
52,10002950_4,Quadrature,Numerical analysis
53,10002950_4,Gr???bner bases and other special bases,Computational mathematics
54,10002950_5,Topology,Calculus
55,10002950_5,Point-set topology,Topology
56,10002950_5,Geometric topology,Topology
57,10002950_5,Continuous functions,Calculus
58,10002950_5,Continuous mathematics,Calculus
59,10002950_5,Algebraic topology,Topology
60,10002951_3,Data mining,Data Management
61,10002951_3,Data cleaning,Data Management
62,10002951_3,Data stream mining,Data Management
63,10002951_3,Data warehouses,Data Management
64,10002951_3,Association rules,Data Management
65,10002951_3,Multimedia streaming,Multimedia and Content
66,10002951_3,Multimedia databases,Multimedia and Content
67,10002951_3,Multimedia content creation,Multimedia and Content
68,10002951_3,Decision support systems,Decision Support
69,10002951_3,Expert systems,Decision Support
70,10002951_3,Geographic information systems,Decision Support
71,10002951_3,Extranets,Networks and Communications
72,10002951_3,Intranets,Networks and Communications
73,10002951_3,Sensor networks,Networks and Communications
74,10002951_3,Global positioning systems,Networks and Communications
75,10002951_3,Collaborative filtering,Collaboration and Social Computing
76,10002951_3,Social tagging systems,Collaboration and Social Computing
77,10002951_3,Social networking sites,Collaboration and Social Computing
78,10002951_3,Wikis,Collaboration and Social Computing
79,10002951_3,Blogs,Collaboration and Social Computing
80,10002951_3,Enterprise information systems,Enterprise Systems
81,10002951_3,Enterprise resource planning,Enterprise Systems
82,10002951_3,Enterprise applications,Enterprise Systems
83,10002951_3,Reputation systems,Security and Reputation
84,10002951_3,Security protocols,Security and Reputation
85,10002951_3,Firewalls,Security and Reputation
86,10002951_3,Data mining,Data Processing and Analysis
87,10002951_3,Data analytics,Data Processing and Analysis
88,10002951_3,Online analytical processing,Data Processing and Analysis
89,10002951_3,Computing platforms,Applications and Platforms
90,10002951_3,Open source software,Applications and Platforms
