,group,child,parent
0,10002950_1,Graph theory,Discrete mathematics
1,10002950_1,Graph algorithms,Graph theory
2,10002950_1,Paths and connectivity problems,Graph theory
3,10002950_1,Graph coloring,Graph theory
4,10002950_1,Matchings and factors,Graph theory
5,10002950_1,Network flows,Graph theory
6,10002950_1,Extremal graph theory,Graph theory
7,10002950_1,Trees,Graph theory
8,10002950_1,Hypergraphs,Graph theory
9,10002950_1,Graphs and surfaces,Graph theory
10,10002950_1,Random graphs,Graph theory
11,10002950_1,Combinatorics,Discrete mathematics
12,10002950_1,Permutations and combinations,Combinatorics
13,10002950_1,Combinatorial optimization,Combinatorics
14,10002950_1,Combinatorial algorithms,Combinatorial optimization
15,10002950_1,Generating functions,Combinatorics
16,10002950_1,Enumeration,Combinatorics
17,10002950_1,Combinatorics on words,Combinatorics
18,10002950_1,Approximation algorithms,Combinatorial optimization
19,10002950_1,Spectra of graphs,Graph theory
20,10002950_1,Graph enumeration,Graph theory
21,10002950_4,Continuous Optimization,Mathematical Optimization
22,10002950_4,Discrete Optimization,Mathematical Optimization
23,10002950_4,Nonlinear Optimization,Mathematical Optimization
24,10002950_4,Linear Programming,Mathematical Optimization
25,10002950_4,Mixed Discrete-Continuous Optimization,Mathematical Optimization
26,10002950_4,Quadratic Programming,Mathematical Optimization
27,10002950_4,Convex Optimization,Mathematical Optimization
28,10002950_4,Nonconvex Optimization,Mathematical Optimization
29,10002950_4,Stochastic Control and Optimization,Mathematical Optimization
30,10002950_4,Bio-inspired Optimization,Mathematical Optimization
31,10002950_4,Mathematical Analysis,Mathematical Optimization
32,10002950_4,Calculus,Mathematical Analysis
33,10002950_4,Differential Calculus,Calculus
34,10002950_4,Integral Calculus,Calculus
35,10002950_4,Numerical Analysis,Mathematical Analysis
36,10002950_4,Functional Analysis,Mathematical Analysis
37,10002950_4,Differential Equations,Mathematical Analysis
38,10002950_4,Ordinary Differential Equations,Differential Equations
39,10002950_4,Partial Differential Equations,Differential Equations
40,10002950_4,Differential Algebraic Equations,Differential Equations
41,10002950_4,Integral Equations,Mathematical Analysis
42,10002950_4,Arbitrary-Precision Arithmetic,Numerical Analysis
43,10002950_4,Interval Arithmetic,Numerical Analysis
44,10002950_4,Quadrature,Numerical Analysis
45,10002950_4,Interpolation,Numerical Analysis
46,10002950_4,Mesh Generation,Numerical Analysis
47,10002950_4,Randomized Local Search,Mathematical Optimization
48,10002950_4,Tabu Search,Mathematical Optimization
49,10002950_4,Simulated Annealing,Mathematical Optimization
50,10002950_4,Developmental Representations,Bio-inspired Optimization
51,10002950_4,Computations on Matrices,Mathematical Optimization
52,10002950_4,Computations on Polynomials,Mathematical Optimization
53,10002950_4,Gröbner Bases and Other Special Bases,Mathematical Optimization
54,10002950_4,Number-Theoretic Computations,Mathematical Optimization
55,10002950_5,Continuous mathematics,Topology
56,10002950_5,Continuous functions,Continuous mathematics
57,10002950_5,Point-set topology,Topology
58,10002950_5,Algebraic topology,Topology
59,10002950_5,Geometric topology,Topology
60,10002951_3,Enterprise Systems,Information Systems
61,10002951_3,Enterprise resource planning,Enterprise Systems
62,10002951_3,Enterprise information systems,Enterprise Systems
63,10002951_3,Enterprise applications,Enterprise Systems
64,10002951_3,Data Management and Analytics,Information Systems
65,10002951_3,Data mining,Data Management and Analytics
66,10002951_3,Data cleaning,Data Management and Analytics
67,10002951_3,Data streaming,Data Management and Analytics
68,10002951_3,Data warehouses,Data Management and Analytics
69,10002951_3,Online analytical processing,Data Management and Analytics
70,10002951_3,Data analytics,Data Management and Analytics
71,10002951_3,Data stream mining,Data Management and Analytics
72,10002951_3,Clustering,Data Management and Analytics
73,10002951_3,Association rules,Data Management and Analytics
74,10002951_3,Decision support systems,Data Management and Analytics
75,10002951_3,Geographic Information Systems,Information Systems
76,10002951_3,Geographic information systems,Geographic Information Systems
77,10002951_3,Location based services,Geographic Information Systems
78,10002951_3,Global positioning systems,Geographic Information Systems
79,10002951_3,Spatial-temporal systems,Geographic Information Systems
80,10002951_3,Collaborative and Social Computing,Information Systems
81,10002951_3,Collaborative filtering,Collaborative and Social Computing
82,10002951_3,Collaborative and social computing systems and tools,Collaborative and Social Computing
83,10002951_3,Social networking sites,Collaborative and Social Computing
84,10002951_3,Blogs,Collaborative and Social Computing
85,10002951_3,Wikis,Collaborative and Social Computing
86,10002951_3,Social tagging systems,Collaborative and Social Computing
87,10002951_3,Multimedia Systems,Information Systems
88,10002951_3,Multimedia information systems,Multimedia Systems
89,10002951_3,Multimedia databases,Multimedia Systems
90,10002951_3,Multimedia content creation,Multimedia Systems
91,10002951_3,Multimedia streaming,Multimedia Systems
92,10002951_3,Networking and Communication,Information Systems
93,10002951_3,Extranets,Networking and Communication
94,10002951_3,Intranets,Networking and Communication
95,10002951_3,Sensor networks,Networking and Communication
96,10002951_3,Computing platforms,Networking and Communication
97,10002951_3,Artificial Intelligence and Expert Systems,Information Systems
98,10002951_3,Expert systems,Artificial Intelligence and Expert Systems
99,10002951_3,Reputation systems,Artificial Intelligence and Expert Systems
100,10002951_3,Computational advertising,Artificial Intelligence and Expert Systems
101,10002951_3,Process Control and Gaming,Information Systems
102,10002951_3,Process control systems,Process Control and Gaming
103,10002951_3,Massively multiplayer online games,Process Control and Gaming
104,10002978_1,Mathematical foundations of cryptography,Cryptography
105,10002978_1,Symmetric cryptography and hash functions,Cryptography
106,10002978_1,Public key (asymmetric) techniques,Cryptography
107,10002978_1,Public key encryption,Public key (asymmetric) techniques
