,group,child,parent
0,10,manipulation,influence
1,10,seduction,influence
2,10,hypnotism,influence
3,10,solicitation,influence
4,10,ingratiation,influence
5,10,mind game,manipulation
6,10,enticement,seduction
7,10,blandishment,seduction
8,10,exposure,influence
9,10,underexposure,exposure
10,10,overexposure,exposure
11,10,leading astray,manipulation
12,10,impingement,manipulation
13,10,cross-pollination,influence
14,101,tent,shelter
15,101,pup tent,tent
16,101,cottage tent,tent
17,101,two-man tent,tent
18,101,backpacking tent,tent
19,101,mountain tent,tent
20,101,fly tent,tent
21,101,pavilion,tent
22,101,wall tent,tent
23,101,canvas tent,tent
24,101,bell tent,tent
25,101,Sibley tent,tent
26,101,pyramidal tent,tent
27,101,circus tent,tent
28,101,lean-to tent,tent
29,101,umbrella tent,tent
30,101,tepee,tent
31,101,hovel,shelter
32,101,mudhif,shelter
33,101,tupik,shelter
34,101,Nissen hut,shelter
35,101,dugout,shelter
36,101,cabana,shelter
37,101,hut,shelter
38,101,safehold,shelter
39,101,safe house,safehold
40,101,fallout shelter,safehold
41,101,storm cellar,safehold
42,101,haven,shelter
43,101,refuge,shelter
44,101,harbor,shelter
45,101,cookhouse,shelter
46,101,loft,shelter
47,101,praetorium,shelter
48,101,sconce,shelter
49,101,mantelet,shelter
50,105,snare drum,percussion instrument
51,105,bass drum,percussion instrument
52,105,tenor drum,percussion instrument
53,105,cymbal,percussion instrument
54,105,gong,percussion instrument
55,105,tambour,percussion instrument
56,105,tambourine,tambour
57,105,maraca,percussion instrument
58,105,rain stick,percussion instrument
59,105,triangle,percussion instrument
60,105,timbrel,percussion instrument
61,105,bongo,percussion instrument
62,105,vibraphone,percussion instrument
63,105,marimba,percussion instrument
64,105,glockenspiel,percussion instrument
65,105,lagerphone,percussion instrument
66,105,steel drum,percussion instrument
67,105,piano,percussion instrument
68,105,mechanical piano,piano
69,105,grand piano,piano
70,105,concert grand,grand piano
71,105,baby grand,grand piano
72,105,upright,piano
73,105,carillon,percussion instrument
74,105,handbell,percussion instrument
75,105,chime,percussion instrument
76,13,coefficient,root
77,13,coefficient of elasticity,coefficient
78,13,coefficient of self induction,coefficient
79,13,coefficient of reflection,coefficient
80,13,coefficient of friction,coefficient
81,13,absorption coefficient,coefficient
82,13,coefficient of viscosity,coefficient
83,13,coefficient of mutual induction,coefficient
84,13,coefficient of expansion,coefficient
85,13,drag coefficient,coefficient
86,13,modulus,root
87,13,Young's modulus,modulus
88,13,bulk modulus,modulus
89,13,modulus of rigidity,modulus
90,13,weight,root
91,137,iron deficiency anemia,anemia
92,137,sickle-cell anemia,anemia
93,137,pernicious anemia,anemia
94,137,hypoplastic anemia,anemia
95,137,hemolytic anemia,anemia
96,137,macrocytic anemia,anemia
97,137,microcytic anemia,anemia
98,137,hypochromic anemia,anemia
99,137,hyperchromic anemia,anemia
100,137,megaloblastic anemia,macrocytic anemia
101,137,aplastic anemia,anemia
102,137,sideroblastic anemia,anemia
103,137,thalassemia,anemia
104,137,Cooley's anemia,thalassemia
105,137,favism,hemolytic anemia
106,137,chlorosis,anemia
107,137,erythroblastosis fetalis,anemia
108,137,refractory anemia,anemia
109,137,ischemic stroke,ischemia
110,137,transient ischemic attack,ischemia
111,138,monogamy,marriage
112,138,polygamy,marriage
113,138,common-law marriage,marriage
114,138,civil union,marriage
115,138,marriage of convenience,marriage
116,138,monandry,marriage
