,child,parent,group
0,liter,metric_capacity_unit,514
1,cubic_kilometer,metric_capacity_unit,514
2,kiloliter,metric_capacity_unit,514
3,hectoliter,metric_capacity_unit,514
4,milliliter,metric_capacity_unit,514
5,centiliter,metric_capacity_unit,514
6,deciliter,metric_capacity_unit,514
7,dekaliter,metric_capacity_unit,514
8,cubic_millimeter,metric_capacity_unit,514
9,angstrom,metric_linear_unit,514
10,picometer,metric_linear_unit,514
11,nanometer,metric_linear_unit,514
12,micron,metric_linear_unit,514
13,millimeter,metric_linear_unit,514
14,centimeter,metric_linear_unit,514
15,decimeter,metric_linear_unit,514
16,meter,metric_linear_unit,514
17,hectometer,metric_linear_unit,514
18,metric_weight_unit,metric_unit,514
19,metric_capacity_unit,metric_unit,514
20,gram,metric_weight_unit,514
21,kilogram,metric_weight_unit,514
22,metric_ton,metric_weight_unit,514
23,milligram,metric_weight_unit,514
24,carat,metric_weight_unit,514
25,quintal,metric_weight_unit,514
26,hundredweight,metric_weight_unit,514
27,centner,metric_weight_unit,514
0,dalai_lama,lama,515
1,panchen_lama,lama,515
2,flamen,priest,515
3,druid,priest,515
4,medicine_man,shaman,515
0,product-moment_correlation_coefficient,correlation_coefficient,5
1,tau_coefficient_of_correlation,correlation_coefficient,5
2,biserial_correlation_coefficient,correlation_coefficient,5
3,tetrachoric_correlation_coefficient,correlation_coefficient,5
4,phi_coefficient,correlation_coefficient,5
5,arithmetic_mean,mean,5
6,geometric_mean,mean,5
7,harmonic_mean,mean,5
8,outlier,nonparametric_statistic,5
9,mean,parametric_statistic,5
10,correlation_coefficient,statistic,5
11,parametric_statistic,statistic,5
12,time_series,statistic,5
13,nonparametric_statistic,statistic,5
0,virginia_reel,reel,8
1,do-si-do,square_dance,8
0,heroin_addict,addict,9
1,opium_addict,addict,9
2,caffeine_addict,addict,9
3,crack_addict,addict,9
4,cocaine_addict,addict,9
5,withdrawer,drug_addict,9
6,addict,drug_addict,9
0,overexposure,exposure,10
1,underexposure,exposure,10
2,ingratiation,influence,10
3,exposure,influence,10
4,manipulation,influence,10
5,blandishment,influence,10
6,seduction,influence,10
7,cross-pollination,influence,10
8,impingement,influence,10
9,mind_game,influence,10
10,solicitation,influence,10
11,hypnotism,influence,10
0,coefficient_of_reflection,coefficient,13
1,coefficient_of_viscosity,coefficient,13
2,coefficient_of_mutual_induction,coefficient,13
3,coefficient_of_self_induction,coefficient,13
4,coefficient_of_expansion,coefficient,13
5,coefficient_of_friction,coefficient,13
6,coefficient_of_elasticity,coefficient,13
7,drag_coefficient,coefficient,13
8,modulus,coefficient,13
9,absorption_coefficient,coefficient,13
10,young's_modulus,modulus,13
11,bulk_modulus,modulus,13
12,modulus_of_rigidity,modulus,13
0,diet,abstinence,525
1,chastity,abstinence,525
2,sobriety,abstinence,525
3,asceticism,abstinence,525
4,fast,diet,525
5,sawm,fast,525
6,hunger_strike,fast,525
7,teetotaling,sobriety,525
0,hang_gliding,flight,15
1,ballooning,flight,15
2,parasailing,flight,15
3,acrobatics,flight,15
4,solo,flight,15
5,overflight,flight,15
6,terrain_flight,flight,15
7,glide,flight,15
8,tailspin,flight,15
9,pass,flight,15
10,sortie,flight,15
11,air_travel,flight,15
12,flyover,overflight,15
0,elective_course,course,17
1,required_course,course,17
2,seminar,course,17
3,correspondence_course,course,17
4,refresher_course,course,17
5,workshop,course,17
6,shop_class,course,17
7,home_study,course,17
8,directed_study,course,17
9,elementary_education,education,17
10,secondary_education,education,17
11,higher_education,education,17
12,adult_education,education,17
13,coeducation,education,17
14,team_teaching,education,17
15,extension,education,17
16,propaedeutic,education,17
17,continuing_education,education,17
0,petit_larceny,larceny,531
1,grand_larceny,larceny,531
2,shoplifting,larceny,531
3,breach_of_trust_with_fraudulent_intent,larceny,531
4,robbery,larceny,531
5,embezzlement,larceny,531
6,highway_robbery,robbery,531
7,armed_robbery,robbery,531
0,accused,defendant,532
1,codefendant,defendant,532
2,defendant,litigant,532
3,plaintiff,litigant,532
4,respondent,litigant,532
5,filer,plaintiff,532
6,prevailing_party,plaintiff,532
7,suer,plaintiff,532
0,tenderness,kindheartedness,535
0,true_marmoset,marmoset,24
1,pygmy_marmoset,marmoset,24
2,howler_monkey,new_world_monkey,24
3,uakari,new_world_monkey,24
4,tamarin,new_world_monkey,24
5,squirrel_monkey,new_world_monkey,24
6,marmoset,new_world_monkey,24
7,capuchin,new_world_monkey,24
8,saki,new_world_monkey,24
9,spider_monkey,new_world_monkey,24
10,titi,new_world_monkey,24
11,pinche,tamarin,24
12,silky_tamarin,tamarin,24
0,bunch,agglomeration,28
1,ball,agglomeration,28
2,swad,agglomeration,28
3,thrombus,agglomeration,28
4,knot,agglomeration,28
5,wisp,agglomeration,28
6,witches'_broom,agglomeration,28
7,clot,agglomeration,28
8,coma,agglomeration,28
9,clew,agglomeration,28
0,duck_down,down,33
1,goose_down,down,33
2,swan's_down,down,33
3,eiderdown,down,33
4,flight_feather,feather,33
5,tail_feather,feather,33
6,aftershaft,feather,33
7,plumule,feather,33
8,marabou,feather,33
9,down,feather,33
10,primary,flight_feather,33
11,saddle_hackle,flight_feather,33
0,coup,conquest,36
1,blockbuster,conquest,36
2,sleeper,conquest,36
3,success,conquest,36
4,conquest,score,36
5,basket,score,36
6,touchdown,score,36
7,point_after,score,36
8,goal,score,36
9,safety,score,36
10,own_goal,score,36
11,break,score,36
12,hat_trick,score,36
13,run,score,36
14,field_goal,score,36
15,hit,score,36
16,passing,score,36
0,trouser_cuff,cuff,42
1,lapel,lap,42
2,earflap,lap,42
3,flap,lap,42
4,cuff,lap,42
5,tongue,lap,42
6,tent-fly,lap,42
7,pocket_flap,lap,42
8,coattail,lapel,42
0,pedaler,cyclist,559
1,merckx,cyclist,559
2,hinault,cyclist,559
3,unicyclist,cyclist,559
4,horsewoman,horseman,559
5,postilion,horseman,559
6,picador,horseman,559
7,cyclist,rider,559
8,horseman,rider,559
9,jockey,rider,559
0,broccoli_rabe,broccoli,561
1,head_cabbage,cabbage,561
2,savoy_cabbage,cabbage,561
3,red_cabbage,cabbage,561
4,chinese_cabbage,cabbage,561
5,broccoli,cruciferous_vegetable,561
6,cauliflower,cruciferous_vegetable,561
7,kale,cruciferous_vegetable,561
8,collards,cruciferous_vegetable,561
9,cabbage,cruciferous_vegetable,561
10,mustard,cruciferous_vegetable,561
11,kohlrabi,cruciferous_vegetable,561
12,bok_choy,cruciferous_vegetable,561
13,radish,cruciferous_vegetable,561
14,turnip,cruciferous_vegetable,561
15,white_turnip,turnip,561
16,rutabaga,turnip,561
0,wandering_albatross,albatross,563
1,black-footed_albatross,albatross,563
2,storm_petrel,petrel,563
3,diving_petrel,petrel,563
4,mother_carey's_chicken,petrel,563
5,giant_petrel,petrel,563
6,petrel,procellariiform_seabird,563
7,albatross,procellariiform_seabird,563
8,shearwater,procellariiform_seabird,563
9,manx_shearwater,shearwater,563
10,stormy_petrel,storm_petrel,563
11,white-chinned_petrel,storm_petrel,563
0,tempo,rhythm,569
1,andante,tempo,569
2,allegro,tempo,569
3,accelerando,tempo,569
4,meno_mosso,tempo,569
5,allegro_con_spirito,tempo,569
6,allegretto,tempo,569
7,rubato,tempo,569
0,enteric-coated_aspirin,aspirin,58
1,buffered_aspirin,aspirin,58
2,aspirin_powder,aspirin,58
3,aspirin,nonsteroidal_anti-inflammatory,58
4,piroxicam,nonsteroidal_anti-inflammatory,58
5,diflunisal,nonsteroidal_anti-inflammatory,58
6,flurbiprofen,nonsteroidal_anti-inflammatory,58
7,fenoprofen,nonsteroidal_anti-inflammatory,58
8,mefenamic_acid,nonsteroidal_anti-inflammatory,58
9,sulindac,nonsteroidal_anti-inflammatory,58
10,etodolac,nonsteroidal_anti-inflammatory,58
11,tolmetin_sodium,nonsteroidal_anti-inflammatory,58
